(136, 127);0
(8, 132);10
(105, 116);1
(0, 7);7
(15, 132);9
(8, 132);10
(105, 116);12
(0, 7);7
(15, 132);9
(8, 132);10
(105, 116);10
(136, 117);13
(136, 86);4
(122, 138);13
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);10
(136, 115);12
(136, 124);13
(136, 85);4
(122, 138);13
(0, 7);7
(15, 132);9
(8, 128);3
(8, 137);11
(8, 132);10
(105, 116);10
(136, 117);13
(136, 86);4
(122, 138);13
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);10
(136, 115);12
(136, 124);13
(136, 85);4
(122, 138);13
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);10
(136, 115);12
(136, 124);13
(136, 85);4
(121, 141);10
(0, 7);7
(15, 132);9
(8, 129);5
(8, 132);6
(8, 132);10
(105, 116);10
(136, 117);13
(136, 86);4
(122, 138);13
(0, 7);7
(15, 132);9
(8, 126);10
(105, 116);3
(0, 7);7
(15, 132);9
(8, 132);10
(105, 116);8
